sku,unit,target_month,predicted_qty,level_qty,seasonal_factor,trend_per_month,months_from_level_anchor,trend_contribution_qty,deseasonalized_forecast,damping,status,warnings,actual_qty,residual_qty,split,model,trained_before
010300001_,шт,2026-01-01,35.666666666666664,35.666666666666664,1.0,0.0,2.0,0.0,35.666666666666664,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,10.0,-25.666666666666664,validation,decomposition_damping_0,2026-01-01
010300002_,шт,2026-01-01,261.9768706140001,272.38157169945674,0.9618010094422353,0.0,2.0,0.0,272.38157169945674,0.0,forecast,unstable_trend_disabled,5.0,-256.9768706140001,validation,decomposition_damping_0,2026-01-01
010300003_,шт,2026-01-01,173.06034338495564,135.1679293072887,1.2803358331510941,0.0,2.0,0.0,135.1679293072887,0.0,forecast,unstable_trend_disabled,55.0,-118.06034338495564,validation,decomposition_damping_0,2026-01-01
010300004_,шт,2026-01-01,39.963120400498454,50.40945117537003,0.7927703926287609,0.0,2.0,0.0,50.40945117537003,0.0,forecast,,25.0,-14.963120400498454,validation,decomposition_damping_0,2026-01-01
010300005_,шт,2026-01-01,192.66666666666666,192.66666666666666,1.0,0.0,2.0,0.0,192.66666666666666,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,10.0,-182.66666666666666,validation,decomposition_damping_0,2026-01-01
010300006_,шт,2026-01-01,76.0756733725636,104.7024081386573,0.7265895285982024,0.0,2.0,0.0,104.7024081386573,0.0,forecast,unstable_trend_disabled,71.0,-5.0756733725636,validation,decomposition_damping_0,2026-01-01
010300007_,шт,2026-01-01,10.084884458388354,12.086128810648175,0.834418085094652,0.0,2.0,0.0,12.086128810648175,0.0,forecast,unstable_trend_disabled,24.0,13.915115541611646,validation,decomposition_damping_0,2026-01-01
010300008_,шт,2026-01-01,11.0,11.0,1.0,-0.0,2.0,-0.0,11.0,0.0,forecast,neutral_seasonality_insufficient_evidence,4.0,-7.0,validation,decomposition_damping_0,2026-01-01
010300009_,шт,2026-01-01,16.228315639701517,25.615865862141842,0.6335259454838746,-0.0,2.0,-0.0,25.615865862141842,0.0,forecast,,13.0,-3.228315639701517,validation,decomposition_damping_0,2026-01-01
010300010_,шт,2026-01-01,13.151618006677023,14.269227730044648,0.9216769299284195,-0.0,2.0,-0.0,14.269227730044648,0.0,forecast,,38.0,24.848381993322977,validation,decomposition_damping_0,2026-01-01
010300011_,шт,2026-01-01,42.666666666666664,42.666666666666664,1.0,0.0,2.0,0.0,42.666666666666664,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,14.0,-28.666666666666664,validation,decomposition_damping_0,2026-01-01
010300012_,шт,2026-01-01,16.5,16.5,1.0,0.0,2.0,0.0,16.5,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,3.0,-13.5,validation,decomposition_damping_0,2026-01-01
010300013_,шт,2026-01-01,13.018148738484498,16.366350206927553,0.7954216165418587,0.0,2.0,0.0,16.366350206927553,0.0,forecast,unstable_trend_disabled,25.0,11.981851261515502,validation,decomposition_damping_0,2026-01-01
010300014_,шт,2026-01-01,85.37567570642128,84.09115161536525,1.0152753775680403,0.0,2.0,0.0,84.09115161536525,0.0,forecast,unstable_trend_disabled,27.0,-58.375675706421276,validation,decomposition_damping_0,2026-01-01
010300015_,шт,2026-01-01,134.17466526270263,131.76412825054297,1.018294334309078,0.0,2.0,0.0,131.76412825054297,0.0,forecast,unstable_trend_disabled,101.0,-33.17466526270263,validation,decomposition_damping_0,2026-01-01
010300016_,шт,2026-01-01,71.89749247940146,54.72806258526487,1.3137225964720947,0.0,2.0,0.0,54.72806258526487,0.0,forecast,unstable_trend_disabled,45.0,-26.897492479401464,validation,decomposition_damping_0,2026-01-01
010300017_,шт,2026-01-01,45.105118949417964,51.633298300182986,0.8735664858593416,0.0,2.0,0.0,51.633298300182986,0.0,forecast,unstable_trend_disabled,37.0,-8.105118949417964,validation,decomposition_damping_0,2026-01-01
010300018_,шт,2026-01-01,19.23245412042644,20.280866294665028,0.9483053554514889,0.0,2.0,0.0,20.280866294665028,0.0,forecast,unstable_trend_disabled,3.0,-16.23245412042644,validation,decomposition_damping_0,2026-01-01
010300019_,шт,2026-01-01,7.666666666666667,7.666666666666667,1.0,0.0,2.0,0.0,7.666666666666667,0.0,forecast,neutral_seasonality_insufficient_evidence;unstable_trend_disabled,8.0,0.33333333333333304,validation,decomposition_damping_0,2026-01-01
010300020_,шт,2026-01-01,15.658891300584285,12.565898525798056,1.2461417914871944,0.0,2.0,0.0,12.565898525798056,0.0,forecast,unstable_trend_disabled,8.0,-7.658891300584285,validation,decomposition_damping_0,2026-01-01
010300021_,шт,2026-01-01,19.294058655216855,25.402925693083493,0.7595211232094454,0.0,2.0,0.0,25.402925693083493,0.0,forecast,unstable_trend_disabled,4.0,-15.294058655216855,validation,decomposition_damping_0,2026-01-01
010300023_,шт,2026-01-01,9.947327259584029,9.841092038851988,1.0107950642380572,0.0,2.0,0.0,9.841092038851988,0.0,forecast,unstable_trend_disabled,9.0,-0.9473272595840285,validation,decomposition_damping_0,2026-01-01
010300024_,шт,2026-01-01,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,forecast,neutral_seasonality_insufficient_evidence;insufficient_recent_history,1.0,-1.0,validation,decomposition_damping_0,2026-01-01
